ip_address,mac_address,status,vlan
10.39.18.180,,Unreachable,18
10.39.18.181,,Unreachable,18
10.39.18.182,cc48.3a9b.35a9,Reachable,18
10.39.18.183,,Unreachable,18
10.39.18.184,,Unreachable,18
10.39.18.185,0018.c840.6842,Reachable,18
10.39.18.186,,Unreachable,18
10.39.18.187,0018.c840.6847,Reachable,18
10.39.18.188,0018.c840.9412,Reachable,18
10.39.18.189,,Unreachable,18
10.39.18.190,0018.c840.67fc,Reachable,18
10.39.18.191,,Unreachable,18
10.39.18.192,0018.c840.6845,Reachable,18
10.39.18.193,,Unreachable,18
10.39.18.194,,Unreachable,18
10.39.18.195,,Unreachable,18
10.39.18.196,,Unreachable,18
10.39.18.197,,Unreachable,18
10.39.18.198,,Unreachable,18
10.39.18.199,,Unreachable,18
10.39.18.200,,Unreachable,18
10.39.18.201,,Unreachable,18
10.39.18.202,,Unreachable,18
10.39.18.203,,Unreachable,18
10.39.18.204,,Unreachable,18
10.39.18.205,,Unreachable,18
10.39.18.206,,Unreachable,18
10.39.18.207,,Unreachable,18
10.39.18.208,,Unreachable,18
10.39.18.209,,Unreachable,18
10.39.18.210,,Unreachable,18
10.39.18.211,,Unreachable,18
10.39.18.212,,Unreachable,18
10.39.18.213,,Unreachable,18
10.39.18.214,,Unreachable,18
10.39.18.215,,Unreachable,18
10.39.18.216,,Unreachable,18
10.39.18.217,,Unreachable,18
10.39.18.218,,Unreachable,18
10.39.18.219,,Unreachable,18
10.39.18.220,,Unreachable,18
10.39.18.221,,Unreachable,18
10.39.18.222,,Unreachable,18
10.39.18.223,,Unreachable,18
10.39.18.224,,Unreachable,18
10.39.18.225,,Unreachable,18
10.39.18.226,,Unreachable,18
10.39.18.227,,Unreachable,18
10.39.18.228,,Unreachable,18
10.39.18.229,,Unreachable,18
10.39.18.230,,Unreachable,18
10.39.18.231,,Unreachable,18
10.39.18.232,,Unreachable,18
10.39.18.233,,Unreachable,18
10.39.18.234,,Unreachable,18
10.39.18.235,,Unreachable,18
10.39.18.236,,Unreachable,18
10.39.18.237,,Unreachable,18
10.39.18.238,,Unreachable,18
10.39.18.239,,Unreachable,18
10.39.18.240,,Unreachable,18
10.39.18.241,,Unreachable,18
10.39.18.242,,Unreachable,18
10.39.18.243,,Unreachable,18
10.39.18.244,,Unreachable,18
10.39.18.245,,Unreachable,18
10.39.18.246,,Unreachable,18
10.39.18.247,,Unreachable,18
10.39.18.248,,Unreachable,18
10.39.18.249,,Unreachable,18
10.39.18.250,,Unreachable,18
10.39.18.251,,Unreachable,18
10.39.18.252,,Unreachable,18
10.39.18.253,,Unreachable,18
10.39.18.254,,Unreachable,18
10.39.20.1,,Unreachable,18
10.39.20.2,,Unreachable,18
10.39.20.3,c4b2.3977.2cf6,Reachable,18
10.39.20.4,,Unreachable,18
10.39.20.5,,Unreachable,18
10.39.20.6,,Unreachable,18
10.39.20.7,,Unreachable,18
10.39.20.8,,Unreachable,18
10.39.20.9,,Unreachable,18
10.39.20.10,,Unreachable,18
10.39.20.11,,Unreachable,18
10.39.20.12,,Unreachable,18
10.39.20.13,,Unreachable,18
10.39.20.14,,Unreachable,18
10.39.20.15,,Unreachable,18
10.39.20.16,,Unreachable,18
10.39.20.17,,Unreachable,18
10.39.20.18,,Unreachable,18
10.39.20.19,,Unreachable,18
10.39.20.20,,Unreachable,18
10.39.20.21,,Unreachable,18
10.39.20.22,,Unreachable,18
10.39.20.23,,Unreachable,18
10.39.20.24,,Unreachable,18
10.39.20.25,,Unreachable,18
10.39.20.26,,Unreachable,18
10.39.20.27,,Unreachable,18
10.39.20.28,,Unreachable,18
10.39.20.29,,Unreachable,18
10.39.20.30,,Unreachable,18
10.39.20.31,,Unreachable,18
10.39.20.32,,Unreachable,18
10.39.20.33,,Unreachable,18
10.39.20.34,,Unreachable,18
10.39.20.35,,Unreachable,18
10.39.20.36,,Unreachable,18
10.39.20.37,,Unreachable,18
10.39.20.38,,Unreachable,18
10.39.20.39,,Unreachable,18
10.39.20.40,,Unreachable,18
10.39.20.41,,Unreachable,18
10.39.20.42,,Unreachable,18
10.39.20.43,,Unreachable,18
10.39.20.44,,Unreachable,18
10.39.20.45,,Unreachable,18
10.39.20.46,,Unreachable,18
10.39.20.47,,Unreachable,18
10.39.20.48,,Unreachable,18
10.39.20.49,,Unreachable,18
10.39.20.50,,Unreachable,18
10.39.20.51,,Unreachable,18
10.39.20.52,,Unreachable,18
10.39.20.53,,Unreachable,18
10.39.20.54,,Unreachable,18
10.39.20.55,,Unreachable,18
10.39.20.56,,Unreachable,18
10.39.20.57,,Unreachable,18
10.39.20.58,,Unreachable,18
10.39.20.59,,Unreachable,18
10.39.20.60,,Unreachable,18
10.39.20.61,,Unreachable,18
10.39.20.62,,Unreachable,18
10.39.20.63,,Unreachable,18
